,Company,Email,Customer,Phone Number O/C,Notes,,,,,,
4/8/2016,"3 Anchor Bat, Inc",grant3ab@gmail.com,,407-504-8460,,X,,,,,
3/22/2016,407 Caf‚,,,407-658-6733,,,,,,,
4/1/2016,A &S Horticulture,asflhorticulture@gmail.com,,321-436-7313,Home Advisor 3/31,reemail,,,,,
4/1/2016,A Better Plumber,kayla@abetterplumberinc.com,Kayla,407-644-4000,everybodys business 03/16,X,,,,,
4/7/2016,A-1 Irrigation,a1_irrigation@yahoo.com,Tim,407-516-9399,HA,X,,,,,
3/29/2016,Adams homes,orlandoadmin@adamshomes.com,,407-523-1030,,X,,,,,
3/22/2016,Affordable Grass Services LLC,voicemail,,352-988-4042,Orange Observer,,,,,,
24-Mar,Alchemy Lounge,voicemail,,407-720-6585,,,,,,,
24-Mar,ali baba hookah caf‚ and lounge,call back,,407-390-0080,,,,,,,
4/12/2016,All American Water Restoration,melissa@allamericanwaterrestoration.com,,407-704-8723,Home Advisor,X,,,,,
4/6/2016,All Quality Group LLC,wbohlen1@yahoo.com,Bill,386-804-7116,""" very  interested",X,,,,,
4/7/2016,"Allpro Sprinklers & Services, LLC",wwallpro@aol.com,,407-696-2226,HA,X,,,,,
4/8/2016,Alpha Environmental Services,sjedware@yahoo.com,,407-539-1100,,X,,,,,
3/31/2016,Appliance Masters of Central FL,appliancemastersofcfl@gmail.com,Eleanor,407-474-3278,everybodys business 03/16,X,,,,,
4/14/2016,ATO Cleaning Service,atomultiservice@gmail.com,,904-203-9093,home advisor,X,,,,,
4/12/2016,Best Pest Control Company,bestpest99@yahoo.com,,407-679-6808,BBB,X,,,,,
3/22/2016,Business Apparel,don?t call,Janice,407-420-7053,SEO,,,,,,
4/12/2016,C & L Landscape ,aceglk1@comcast.net,,904-353-6620,angies list,X,,,,,
24-Mar,Caf‚ 34 Istanbul,,,407-601-7712,twice,,,,,,
3/22/2016,Cairo Bar and Hookah Lounge,voicemail,,407-307-3318,website expired,,,,,,
3/31/2016,Castillo Upholstery Service,joaquin3147@yahoo.com,Joaquin Castillo,386-860-1182,everybodys business 03/16,X Patti's lead,,,,,
4/8/2016,Central Florida Trim and Door Installation,keenebusinessventures@gmail.com,Sam,407-340-7541,,X,,,,,
4/12/2016,Charlies Tropic Heating and Air,info@charliestropic.com,Karen,904-241-1788,angies list,X,,,,,
4/14/2016,Chris and Sam Home Services,csfixit@aol.com,Chris,904-704-0184,home advisor,X,,,,,
3/29/2016,CJR Leadership Strategies,cjrivera14@hotmail.com,,813-240-6444,,X,,,,,
3/29/2016,"CJS Aluminum, Inc",frontdesk@cjsaluminum,,407-281-9210,,X,,,,,
3/22/2016,Clkdpr,don?t call,,407-250-6783,Have SEO,,,,,,
3/22/2016,Cloud 9 wedding flowers,voicemail,Molly,319-504-5066,SEO LVM,,,,,,
