



Report Name,quote
Report Desc,quote
Type,Quote Stage,Assigned To,Subject,Valid Till,Tax Rate,Payment Term
"Customer","Reviewed","","DEVELOPING","31 Jul, 2014 12:00:00 am","","",
"","Reviewed","","Quote for Lead","30 Jul, 2014 12:00:00 am","","",
"Customer","Accepted","","Product campaign event 2014","31 Oct, 2014 12:00:00 am","","",
"Opportunity","Delivered","","Ticket Testing","","","",
"Customer","Reviewed","","Offered Quote","","","",
"Opportunity","Delivered","","New Quote","","","",
"Opportunity","Delivered","","Dell","","","",
"Customer","Rejected","","research","31 Oct, 2014 12:00:00 am","","",
"Opportunity","Accepted","","Visual Quote","31 Oct, 2014 12:00:00 am","","",
"","Accepted","","harsha","13 Nov, 2050 12:00:00 am","","",
"Customer","Delivered","","shashank Crm","","","",
"Opportunity","Reviewed","","nikhil ","9 Dec, 2115 12:00:00 am","","",
"Opportunity","Created","","test quate13","","","",
"Customer","Created","","test quate131","26 Nov, 2014 12:00:00 am","","",
"Customer","Created","","13SAK188","28 Nov, 2014 12:00:00 am","2:VAT:10.00","",
"Customer","Reviewed","","Formal Quote","26 Nov, 2014 12:00:00 am","6:VAT-2:25.00","",
"Customer","Created","","test 17nov test","26 Nov, 2014 12:00:00 am","","",
"","Reviewed","","crm subject","","","",
"Opportunity","Accepted","","subject for crm","","","",
"Customer","Reviewed","","shashank subject for CRM and ERP subject","18 Nov, 2022 12:00:00 am","","",
"Opportunity","Created","","test sub19Nov","26 Nov, 2014 12:00:00 am","","",
"Opportunity","Created","","test sub24Nov","25 Nov, 2014 12:00:00 am","","",
"Customer","Reviewed","","mohit crm","18 Nov, 2022 12:00:00 am","","",
"Opportunity","Created","","test 25Nov Quote","27 Nov, 2014 12:00:00 am","","",
"Customer","Reviewed","","shashank subject for CRM and ERP subject","18 Nov, 2022 12:00:00 am","","",
"Customer","Reviewed","","shashank subject for CRM and ERP subject","18 Nov, 2022 12:00:00 am","","",
"Customer","Created","","test 25nov price subject","28 Nov, 2014 12:00:00 am","","",
"Customer","Delivered","","nike","","","",
"","Delivered","","Harsha","","","",
"Opportunity","Delivered","","bmb","","","",
"Opportunity","Delivered","","jaksksksk ","3 Dec, 2015 12:00:00 am","","",
"Opportunity","Accepted","","Dec Quote","","","",
"Opportunity","Reviewed","","gggghhjhh","","","",
"Opportunity","Created","","Dec Quote","","","",
"Opportunity","Created","","test 25Nov Quote","27 Nov, 2014 12:00:00 am","","",
"Opportunity","Accepted","","Quote Sub","","","",
"Customer","Delivered","","dgdf","","","",
"Customer","Created","","test 17nov test","26 Nov, 2014 12:00:00 am","","",
"Opportunity","Accepted","","dummy subject","15 Dec, 2016 12:00:00 am","","",
"Opportunity","Created","","Dec Quote","","","",
"","Created","","test 25Nov Quote","27 Nov, 2014 12:00:00 am","","",
"Customer","Reviewed","","dummy subject","24 Dec, 2047 12:00:00 am","","",
"Opportunity","Reviewed","","Harsha","","","",
"Opportunity","Reviewed","","test QA","","","",
"Opportunity","Accepted","","hariom","28 Jan, 2015 12:00:00 am","","",
"Customer","Delivered","","Hi kaush","","","",
"Customer","Reviewed","","Hi","27 Aug, 2015 12:00:00 am","","",
"Opportunity","Delivered","","hi hlo","31 Dec, 1969 12:00:00 am","","",
"Opportunity","Delivered","","hi kauahal","31 Dec, 1969 12:00:00 am","","",
"Opportunity","Delivered","","test","2 Apr, 2016 12:00:00 am","","",
"Opportunity","Accepted","","Test Quote-4","","","",
"Customer","Created","","parwez","","","Net15 - 15",
"Customer","Delivered","","hhhh dfddfd","","","",
"Customer","Delivered","","test me","","","Net10 - 10",
"Customer","Delivered","","test me","","","Net10 - 10",
"Customer","Created","","test 17nov test","26 Nov, 2014 12:00:00 am","","",
"Opportunity","Created","","Attendance machine","","","Net10 - 10",
"","Created","","TestG","20 Jul, 2015 12:00:00 am","","",
"","Reviewed","","bhoodev 56000 uuuu","30 Jul, 2015 12:00:00 am","","",
"Opportunity","Created","","bhoodev 56000 high","31 Jul, 2015 12:00:00 am","","",
"Opportunity","Created","","shyam","30 Jul, 2015 12:00:00 am","","",
"Opportunity","Created","","TestQuotes","31 Jul, 2015 12:00:00 am","","Net10 - 10",
"Opportunity","Created","","Test","6 Aug, 2015 12:00:00 am","","Net10 - 10",
"Opportunity","Created","Tanveer Khan","TestG11test","7 Aug, 2015 12:00:00 am","","Net10 - 10",
"Opportunity","Created","Tanveer Khan","QACompQuoteRec","7 Aug, 2015 12:00:00 am","","Net10 - 10",
"Opportunity","Created","Amit Aggarwal","MyOneTimeQuote","28 Aug, 2015 12:00:00 am","","Net10 - 10",
"Opportunity","Created","Amit Aggarwal","TestG11111","25 Aug, 2015 12:00:00 am","","Net10 - 10",
"Customer","Delivered","","shyam","19 Aug, 2015 12:00:00 am","","Net15 - 15",
"Opportunity","Created","Amit Aggarwal","test12345678","","","Net15 - 15",
"Opportunity","Created","Amit Aggarwal","shyam 345","20 Aug, 2015 12:00:00 am","","Net10 - 10",
"Customer","Delivered","","tytryrtyy","","","",
"Customer","Delivered","","tytryrtyy","","","",
	
	



	
